Call,TotalHours,OnePointEightMHz,ThreePointFiveMHz,SevenMHz,FourteenMHz,TwentyOneMHz,TwentyEightMHz,None
DB4MM,9,0,0,3,5,4,0,0
DB7MA,2,0,0,0,2,0,0,0
DB8AH,9,2,4,6,2,0,0,0
DC9ZP,14,0,5,8,5,3,0,0
DD0VS,21,0,0,21,0,0,0,0
DD0VU,26,0,11,20,9,4,0,0
DD1A,48,25,32,45,24,20,7,0
DD2CW,12,0,0,0,0,12,0,0
DD2ML,23,10,11,15,13,10,3,0
DD4DA,25,0,10,9,7,8,0,0
DD5KD,10,0,0,0,10,3,0,0
DD5KG,6,0,0,6,0,0,0,0
DD5MA,5,1,0,1,3,1,0,0
DD5XX,23,0,0,23,0,0,0,0
DD7NT,26,0,8,12,7,7,2,0
DF0ANR,20,3,5,5,6,7,2,0
DF0DRB,7,0,0,4,4,0,0,0
DF0HQ,48,34,42,48,39,24,18,0
DF0SAX,48,18,24,28,22,17,7,0
DF1DN,41,5,17,18,18,9,2,0
DF1DT,13,2,3,4,5,3,1,0
DF1GRA,15,0,0,0,15,0,0,0
DF1HF,16,4,7,15,0,0,0,0
DF1LON,16,2,16,0,0,0,0,0
DF1MHL,12,0,4,5,6,2,0,0
DF1SD,26,5,9,11,9,7,2,0
DF1XC,16,3,3,4,9,3,0,0
DF2AJ,21,0,9,8,3,10,5,0
DF2AP,10,0,6,3,3,1,0,0
DF2DR,15,0,2,3,6,8,2,0
DF2GL,16,0,0,9,8,0,0,0
DF2GW,10,0,0,1,4,7,0,0
DF2LH,40,8,13,23,18,14,2,0
DF2RG,35,5,12,12,13,10,3,0
DF2TT,10,10,3,2,0,0,0,0
DF2WF,23,8,6,5,5,3,2,0
DF3AX,40,8,16,31,23,17,2,0
DF3CB,36,7,12,19,21,14,4,0
DF3CE,14,0,0,2,7,8,2,0
DF3CU,15,0,5,8,10,4,0,0
DF3EH,19,0,2,2,13,6,0,0
DF3GY,8,8,0,0,0,0,0,0
DF3HD,17,0,0,6,13,5,0,0
DF3IS,8,0,0,0,8,0,0,0
DF3OL,27,7,11,13,11,6,0,0
DF3SS,14,14,0,0,0,0,0,0
DF3TE,18,0,3,6,7,8,1,0
DF3XZ,5,0,0,0,5,1,0,0
DF4PD,23,4,6,15,6,1,0,0
DF4WC,18,0,3,6,11,9,0,0
DF4XF,11,3,3,3,4,3,0,0
DF4XG,6,0,3,4,3,1,0,0
DF4XX,34,15,17,23,23,11,2,0
DF4ZL,45,8,21,29,21,13,5,0
DF5AN,15,0,5,6,5,3,0,0
DF5BM,37,0,15,20,12,13,3,0
DF5BX,29,0,14,13,6,5,1,0
DF5DW,9,0,2,6,8,0,0,0
DF5EG,36,12,15,24,15,8,0,0
DF5LW,16,0,6,7,7,2,0,0
DF5RF,18,0,18,0,0,2,0,0
DF5SF,15,0,4,11,5,0,0,0
DF5TR,10,0,3,6,2,1,0,0
DF5UL,18,4,5,7,9,6,1,0
DF6LQ,31,0,6,12,12,10,0,0
DF6QC,26,3,9,13,16,9,0,0
DF6QV,36,12,14,15,11,6,1,0
DF6RI,18,2,4,8,2,5,0,0
DF6YC,8,0,0,3,4,2,0,0
DF7DR,5,0,0,5,0,0,0,0
DF7GG,35,0,35,0,0,0,0,0
DF7RG,13,0,0,13,0,0,0,0
DF7TS,26,0,6,11,6,6,0,0
DF7TV,16,6,9,10,10,10,2,0
DF7XH,10,0,0,5,4,3,0,0
DF7XR,10,0,0,5,4,4,0,0
DF7ZS,35,2,13,19,15,15,4,0
DF8AA,9,0,7,4,0,0,0,0
DF8AN,3,0,0,0,1,3,0,0
DF8KY,5,0,1,3,2,0,0,0
DF8TY,24,0,6,5,13,4,0,0
DF8XC,29,2,12,10,13,10,1,0
DF9CY,14,0,0,14,0,0,0,0
DF9GH,17,0,0,9,5,6,0,0
DF9GR,39,11,11,17,15,9,5,0
DF9PG,15,0,0,0,15,0,0,0
DF9VJ,15,0,2,7,7,3,0,0
DF9XV,32,2,8,10,13,12,2,0
DF9ZV,5,0,0,5,0,0,0,0
DG0KS,18,0,0,15,10,9,2,0
DG1CMZ,3,2,3,2,0,0,0,0
DG1HXJ,14,0,0,14,0,0,0,0
DG1NPM,6,3,2,2,3,0,0,0
DG3BCZ,22,0,13,8,6,0,0,0
DG3SBM,3,0,0,0,0,3,0,0
DG5AA,20,9,6,7,8,1,1,0
